"Date","z0_pro","SolarZenMin","TimeSolarZenMin","AlbedoSolarZenMin","LandSatR","Wns_rad","Wns_modis","ustarUh_pro","uTstarUh_rad","usstarUh_rad","uTstarUh_rad_filt","usstarUh_rad_filt","usstarUh.modis","uTstarUh.modis"
"2018-04-01",0.00770514833342176,27.8534,"13:11:00",0.3025125,0.33415,0.000204263057384413,0.00634810142219067,0.0621650616730425,0.0382351121449056,0.0379698169192409,0.0382351121449056,0.0379698169192409,0.0560667323506935,0.0323484781041717
"2018-04-02",0.0063854276126491,27.46932,"13:11:00",0.2943517,0.33415,0.000205482964491993,0.00623792828992009,0.0604014941233595,0.0382369714012658,0.0379689390975739,0.0382369714012658,0.0379689390975739,0.0557370622884784,0.0324503116751284
"2018-04-03",0.00836690593877452,27.08644,"13:10:00",0.2934476,0.33415,0.000205618112763734,0.00622835708782077,0.0629714292927567,0.0382371775978771,0.0379688418069244,0.0382371775978771,0.0379688418069244,0.0557083503564036,0.0324591665897126
"2018-04-04",0.0120360401364254,26.70523,"13:10:00",0.2931969,0.33415,0.000205655588343567,0.00624440051615238,0.0667950723622765,0.0382372347822907,0.0379688148275434,0.0382372347822907,0.0379688148275434,0.055756471363257,0.0324443245529216
"2018-04-05",0.00930490810150204,26.3259,"13:10:00",0.303623,0.33415,0.000204097055663627,0.00623469054698944,0.0640427376852292,0.0382348594160518,0.0379699363198194,0.0382348594160518,0.0379699363198194,0.0557273509029655,0.0324533069671434
"2018-04-06",0.00746225515424872,25.94831,"13:09:00",0.3050804,0.33415,0.000203879198024837,0.0062613938935101,0.0618571349482846,0.0382345278390157,0.0379700930003608,0.0382345278390157,0.0379700930003608,0.0558074066013755,0.0324286076953159
"2018-04-07",0.0064061261798129,25.57242,"13:09:00",0.2923137,0.33415,0.000205787612404612,0.0062613938935101,0.0604310262699988,0.0382374362658427,0.0379687197759736,0.0382374362658427,0.0379687197759736,0.0558074066013755,0.0324286076953159
"2018-04-08",0.0100561576414278,25.19869,"13:09:00",0.2912847,0.33415,0.000205941431198564,0.00627227686345577,0.0648488869820138,0.0382376710627235,0.0379686090234384,0.0382376710627235,0.0379686090234384,0.0558400077340439,0.0324185444049588
"2018-04-09",0.00737934729757192,24.8272,"13:09:00",0.3061353,0.33415,0.000203721507601382,0.00620249845087528,0.0617504460291917,0.038234287906506,0.0379702063961926,0.038234287906506,0.0379702063961926,0.0556307220899363,0.032483096503076
"2018-04-10",0.00606749367756634,24.45759,"13:08:00",0.292241,0.33415,0.000205798479874314,0.00621857866644859,0.0599392313868237,0.0382374528526636,0.0379687119515261,0.0382374528526636,0.0379687119515261,0.0556790050383205,0.0324682145557148
"2018-04-11",0.00839667855610873,24.09029,"13:08:00",0.2956864,0.33415,0.000205283448511145,0.00629364512860775,0.0630066623730856,0.0382366670776528,0.0379690827105389,0.0382366670776528,0.0379690827105389,0.0559039753079313,0.0323987904862876
"2018-04-12",0.00860485303129808,23.72551,"13:08:00",0.3008806,0.33415,0.000204506999940138,0.00631514051929116,0.063250658350463,0.0382354836537196,0.037969641435685,0.0382354836537196,0.037969641435685,0.0559682651200815,0.0323789256790592
"2018-04-13",0.00686576274685718,23.36334,"13:08:00",0.3131441,0.33415,0.00020267380579081,0.00632615527138114,0.061070342730473,0.0382326952940797,0.0379709595210658,0.0382326952940797,0.0379709595210658,0.0560011859814953,0.0323687490660802
"2018-04-14",0.000598556474068113,23.0033,"13:07:00",0.3141395,0.33415,0.000202525009651358,0.00631507532671094,0.0444958341863838,0.0382324693220404,0.0379710664411508,0.0382324693220404,0.0379710664411508,0.0559680702266447,0.0323789859162102
"2018-04-15",0.00706144588768466,22.64605,"13:07:00",0.312224,0.33415,0.000202811345802786,0.00623956276103854,0.0613335003946276,0.03823290421898,0.0379708606804514,0.03823290421898,0.0379708606804514,0.0557419642749075,0.0324487996541401
"2018-04-16",0.0108823386501098,22.29168,"13:07:00",0.3314595,0.33415,0.000199935950845415,0.00626668520271778,0.0656897502784277,0.0382285459215937,0.0379729252608715,0.0382285459215937,0.0379729252608715,0.055823259159,0.0324237147034373
"2018-04-17",0.00919005927118922,21.94028,"13:07:00",0.3161014,0.33305,0.000202569389190818,0.00629919534549117,0.0639156435096925,0.0382325367143037,0.0379710345524896,NA,NA,0.055920580872831,0.0323936606556771
"2018-04-18",0.0121552661085212,21.59147,"13:06:00",0.3146099,0.33305,0.000202793080603517,0.00632641650736332,0.0669051982341829,0.0382328764713172,0.0379708738068905,0.0382328764713172,0.0379708738068905,0.056001966575004,0.0323685077295305
"2018-04-19",0.00327456742182815,21.24571,"13:06:00",0.3191468,0.33305,0.000202112647770605,0.00634281989187002,0.0548682889219715,0.0382318433584554,0.0379713626991723,0.0382318433584554,0.0379713626991723,0.0560509636902601,0.0323533558452496
"2018-04-20",0.0114039140122772,20.90319,"13:06:00",0.3161388,0.33305,0.000202563780033041,0.00631520571187139,0.0661987017987852,0.0382325281962926,0.0379710385829661,0.0382325281962926,0.0379710385829661,0.0559684600129771,0.0323788654419696
"2018-04-21",0.00336586542165391,20.56398,"13:06:00",0.3097173,0.33305,0.000203526860426365,0.00635406468063593,0.0550760414803962,0.0382339918246484,0.0379703463524925,0.0382339918246484,0.0379703463524925,0.056084532088662,0.0323429712443154
"2018-04-22",0.008503649329018,20.22811,"13:05:00",0.3194242,0.33305,0.000202071044017413,0.00637047085911036,0.0631325507454188,0.0382317802267994,0.0379713925848114,0.0382317802267994,0.0379713925848114,0.0561334792902294,0.0323278233972631
